"","DayOfWeek","Rider","TripDuration"
"432","Fri","Member",779.382896647079
"433","Sat","Casual",2123.62057285569
"434","Sat","Member",887.642463065131
"435","Sun","Casual",1943.45612857015
"436","Sun","Member",799.623235311637
"437","Mon","Casual",1333.81419601219
"438","Mon","Member",685.089595772425
"439","Tue","Casual",1400.3292123375
"440","Tue","Member",670.902219314579
"441","Wed","Casual",1207.616270034
"442","Wed","Member",675.904555403277
"443","Thu","Casual",1178.33237390958
"444","Thu","Member",657.207665590153
"445","Fri","Casual",1520.74251174251
"446","Fri","Member",702.079370015772
"447","Sat","Casual",1815.30421542528
"448","Sat","Member",809.259439561007
"449","Sun","Casual",2046.84179295967
"450","Sun","Member",712.611598716497
"451","Mon","Casual",1063.22866297699
"452","Mon","Member",634.052346458643
"453","Tue","Casual",1002.01771479185
"454","Tue","Member",646.784372831367
"455","Wed","Casual",984.053433826424
"456","Wed","Member",655.391670004005
"457","Thu","Casual",1450.36156840934
"458","Thu","Member",700.544806257029
"459","Fri","Casual",1155.87625533086
"460","Fri","Member",680.932156992084
"461","Sat","Casual",1353.61235150392
"462","Sat","Member",670.479011741683
"463","Sun","Casual",1507.46947565543
"464","Sun","Member",650.94792440373
"465","Mon","Casual",1097.14059967585
"466","Mon","Member",629.363901095992
"467","Tue","Casual",919.428933581207
"468","Tue","Member",619.8969962906
"469","Wed","Casual",1453.45914054244
"470","Wed","Member",623.216595575836
"471","Thu","Casual",1181.57820716644
"472","Thu","Member",624.253543481471
"473","Fri","Casual",1743.51886528787
"474","Fri","Member",653.571515768057
"475","Sat","Casual",1397.59346949395
"476","Sat","Member",677.345381288144
"477","Sun","Casual",1996.8108531995
"478","Sun","Member",694.91813121521
"479","Mon","Casual",1325.15356265356
"480","Mon","Member",618.88096079124
"481","Tue","Casual",1091.25872808924
"482","Tue","Member",603.234571263233
"483","Wed","Casual",1138.66828370693
"484","Wed","Member",606.534413773593
"485","Thu","Casual",1309.98745269867
"486","Thu","Member",590.060015898251
"487","Fri","Casual",1213.51197126895
"488","Fri","Member",630.308598995375
"489","Sat","Casual",1539.71237791509
"490","Sat","Member",645.936332882273
"491","Sun","Casual",1589.07594936709
"492","Sun","Member",758.222167584579
"493","Mon","Casual",1219.56747200943
"494","Mon","Member",638.10028289123
"495","Tue","Casual",1216.96322778345
"496","Tue","Member",602.819280475026
"497","Wed","Casual",979.677081057461
"498","Wed","Member",591.400895592741
"499","Thu","Casual",948.931842672414
"500","Thu","Member",595.38298693423
"501","Fri","Casual",1150.5215344787
"502","Fri","Member",613.414432632309
"503","Sat","Casual",2111.32669670106
"504","Sat","Member",722.336436246624
