"","Year","Month","DayOfWeek","Bike","Trips"
"269","2021","Jul","Wed","Electric",33337
"270","2021","Jul","Thu","Classic",76298
"271","2021","Jul","Thu","Docked",6064
"272","2021","Jul","Thu","Electric",38913
"273","2021","Jul","Fri","Classic",81180
"274","2021","Jul","Fri","Docked",8664
"275","2021","Jul","Fri","Electric",46344
"276","2021","Jul","Sat","Classic",102459
"277","2021","Jul","Sat","Docked",14886
"278","2021","Jul","Sat","Electric",45415
"279","2021","Aug","Sun","Classic",91264
"280","2021","Aug","Sun","Docked",10489
"281","2021","Aug","Sun","Electric",41005
"282","2021","Aug","Mon","Classic",66690
"283","2021","Aug","Mon","Docked",5376
"284","2021","Aug","Mon","Electric",37945
"285","2021","Aug","Tue","Classic",66749
"286","2021","Aug","Tue","Docked",4605
"287","2021","Aug","Tue","Electric",39569
"288","2021","Aug","Wed","Classic",57095
"289","2021","Aug","Wed","Docked",3857
"290","2021","Aug","Wed","Electric",31300
"291","2021","Aug","Thu","Classic",63673
"292","2021","Aug","Thu","Docked",4614
"293","2021","Aug","Thu","Electric",33380
"294","2021","Aug","Fri","Classic",68733
"295","2021","Aug","Fri","Docked",6299
"296","2021","Aug","Fri","Electric",36654
"297","2021","Aug","Sat","Classic",88829
"298","2021","Aug","Sat","Docked",9825
"299","2021","Aug","Sat","Electric",36401
"300","2021","Sep","Sun","Classic",71318
"301","2021","Sep","Sun","Docked",8199
"302","2021","Sep","Sun","Electric",35785
"303","2021","Sep","Mon","Classic",55109
"304","2021","Sep","Mon","Docked",4452
"305","2021","Sep","Mon","Electric",33066
"306","2021","Sep","Tue","Classic",49535
"307","2021","Sep","Tue","Docked",2327
"308","2021","Sep","Tue","Electric",31960
"309","2021","Sep","Wed","Classic",72613
"310","2021","Sep","Wed","Docked",3132
"311","2021","Sep","Wed","Electric",39399
"312","2021","Sep","Thu","Classic",75042
"313","2021","Sep","Thu","Docked",3646
"314","2021","Sep","Thu","Electric",43472
"315","2021","Sep","Fri","Classic",61718
"316","2021","Sep","Fri","Docked",4700
"317","2021","Sep","Fri","Electric",36527
"318","2021","Sep","Sat","Classic",76949
"319","2021","Sep","Sat","Docked",8881
"320","2021","Sep","Sat","Electric",38317
"321","2021","Oct","Sun","Classic",52514
"322","2021","Oct","Sun","Docked",5958
"323","2021","Oct","Sun","Electric",42308
"324","2021","Oct","Mon","Classic",31964
"325","2021","Oct","Mon","Docked",1891
"326","2021","Oct","Mon","Electric",29860
"327","2021","Oct","Tue","Classic",42545
"328","2021","Oct","Tue","Docked",1800
"329","2021","Oct","Tue","Electric",40301
"330","2021","Oct","Wed","Classic",41628
"331","2021","Oct","Wed","Docked",1650
